match_id,team1,team2,venue,city,date
64128,New Zealand,Australia,AMI Stadium,Christchurch,2005-03-10
64129,Australia,New Zealand,Basin Reserve,Wellington,2005-03-18
64134,Sri Lanka,New Zealand,Basin Reserve,Wellington,2005-04-11
648665,South Africa,India,New Wanderers Stadium,Johannesburg,2013-12-18
648667,South Africa,India,Kingsmead,Durban,2013-12-26
648673,South Africa,Australia,SuperSport Park,Centurion,2014-02-12
648675,South Africa,Australia,St George's Park,Port Elizabeth,2014-02-20
648677,South Africa,Australia,Newlands,Cape Town,2014-03-01
649087,Pakistan,South Africa,Sheikh Zayed Stadium,Abu Dhabi,2013-10-14
649089,Pakistan,South Africa,Dubai International Cricket Stadium,,2013-10-23
657647,Pakistan,Sri Lanka,Sheikh Zayed Stadium,Abu Dhabi,2013-12-31
657649,Pakistan,Sri Lanka,Dubai International Cricket Stadium,,2014-01-08
657651,Pakistan,Sri Lanka,Sharjah Cricket Stadium,,2014-01-16
659555,Zimbabwe,Pakistan,Harare Sports Club,,2013-09-03
659557,Zimbabwe,Pakistan,Harare Sports Club,,2013-09-10
661679,New Zealand,West Indies,University Oval,Dunedin,2013-12-03
661681,New Zealand,West Indies,Basin Reserve,Wellington,2013-12-11
661683,New Zealand,West Indies,Seddon Park,Hamilton,2013-12-19
667651,New Zealand,India,Eden Park,Auckland,2014-02-06
667653,New Zealand,India,Basin Reserve,Wellington,2014-02-14
667711,England,India,Trent Bridge,Nottingham,2014-07-09
667713,England,India,Lord's,London,2014-07-17
667715,England,India,The Rose Bowl,Southampton,2014-07-27
667717,England,India,Old Trafford,Manchester,2014-08-07
667719,England,India,Kennington Oval,London,2014-08-15
667899,England,Sri Lanka,Lord's,London,2014-06-12
667901,England,Sri Lanka,Headingley,Leeds,2014-06-20
668949,Bangladesh,New Zealand,Zahur Ahmed Chowdhury Stadium,Chittagong,2013-10-09
668951,Bangladesh,New Zealand,Shere Bangla National Stadium,Mirpur,2013-10-21
67517,Australia,England,"Bankstown Oval, Sydney",Sydney,2003-02-22
676525,India,West Indies,Eden Gardens,Kolkata,2013-11-06
676527,India,West Indies,Wankhede Stadium,Mumbai,2013-11-14
690347,Bangladesh,Sri Lanka,Shere Bangla National Stadium,Mirpur,2014-01-27
690349,Bangladesh,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Chittagong,2014-02-04
722329,South Africa,West Indies,SuperSport Park,Centurion,2014-12-17
722331,South Africa,West Indies,St George's Park,Port Elizabeth,2014-12-26
722333,South Africa,West Indies,Newlands,Cape Town,2015-01-02
722387,England,India,Sir Paul Getty's Ground,Wormsley,2014-08-13
727927,Australia,Pakistan,Dubai International Cricket Stadium,,2014-10-22
727929,Australia,Pakistan,Sheikh Zayed Stadium,Abu Dhabi,2014-10-30
730089,Sri Lanka,South Africa,Galle International Stadium,,2014-07-16
730091,Sri Lanka,South Africa,Sinhalese Sports Club Ground,Colombo,2014-07-24
730277,West Indies,New Zealand,"Sabina Park, Kingston",Jamaica,2014-06-08
730279,West Indies,New Zealand,"Queen's Park Oval, Port of Spain",Trinidad,2014-06-16
730281,West Indies,New Zealand,"Kensington Oval, Bridgetown",Barbados,2014-06-26
730295,West Indies,Bangladesh,"Arnos Vale Ground, Kingstown",St Vincent,2014-09-05
730297,West Indies,Bangladesh,"Beausejour Stadium, Gros Islet",St Lucia,2014-09-13
736435,Zimbabwe,South Africa,Harare Sports Club,,2014-08-09
742611,New Zealand,Pakistan,Sheikh Zayed Stadium,Abu Dhabi,2014-11-09
742613,New Zealand,Pakistan,Dubai International Cricket Stadium,,2014-11-17
742615,New Zealand,Pakistan,Sharjah Cricket Stadium,,2014-11-26
743939,England,New Zealand,Lord's,London,2015-05-21
743941,England,New Zealand,Headingley,Leeds,2015-05-29
743963,England,Australia,Sophia Gardens,Cardiff,2015-07-08
743965,England,Australia,Lord's,London,2015-07-16
743967,England,Australia,Edgbaston,Birmingham,2015-07-29
743969,England,Australia,Trent Bridge,Nottingham,2015-08-06
743971,England,Australia,Kennington Oval,London,2015-08-20
745153,Sri Lanka,Pakistan,Galle International Stadium,,2014-08-06
745155,Sri Lanka,Pakistan,Sinhalese Sports Club Ground,Colombo,2014-08-14
749777,New Zealand,Sri Lanka,Hagley Oval,Christchurch,2014-12-26
749779,New Zealand,Sri Lanka,Basin Reserve,Wellington,2015-01-03
754737,Australia,India,Adelaide Oval,,2014-12-09
754739,Australia,India,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2014-12-17
754741,Australia,India,Melbourne Cricket Ground,,2014-12-26
754743,Australia,India,Sydney Cricket Ground,,2015-01-06
760781,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Mirpur,2014-10-25
760783,Bangladesh,Zimbabwe,Sheikh Abu Naser Stadium,Khulna,2014-11-03
760785,Bangladesh,Zimbabwe,Zahur Ahmed Chowdhury Stadium,Chittagong,2014-11-12
766929,West Indies,England,"Sir Vivian Richards Stadium, North Sound",Antigua,2015-04-13
766931,West Indies,England,"National Cricket Stadium, St George's",Grenada,2015-04-21
766933,West Indies,England,"Kensington Oval, Bridgetown",Barbados,2015-05-01
798375,England,Australia,St Lawrence Ground,Canterbury,2015-08-11
800461,South Africa,England,Kingsmead,Durban,2015-12-26
800463,South Africa,England,Newlands,Cape Town,2016-01-02
800465,South Africa,England,New Wanderers Stadium,Johannesburg,2016-01-14
800467,South Africa,England,SuperSport Park,Centurion,2016-01-22
810423,West Indies,Australia,"Windsor Park, Roseau",Dominica,2015-06-03
810425,West Indies,Australia,"Sabina Park, Kingston",Jamaica,2015-06-11
817213,Bangladesh,South Africa,Zahur Ahmed Chowdhury Stadium,Chittagong,2015-07-21
817215,Bangladesh,South Africa,Shere Bangla National Stadium,Mirpur,2015-07-30
858493,Bangladesh,Pakistan,Sheikh Abu Naser Stadium,Khulna,2015-04-28
858495,Bangladesh,Pakistan,Shere Bangla National Stadium,Mirpur,2015-05-06
860263,Sri Lanka,Pakistan,Galle International Stadium,,2015-06-17
860265,Sri Lanka,Pakistan,P Sara Oval,Colombo,2015-06-25
860267,Sri Lanka,Pakistan,Pallekele International Cricket Stadium,,2015-07-03
870729,Bangladesh,India,Khan Shaheb Osman Ali Stadium,Fatullah,2015-06-10
892509,Australia,New Zealand,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2015-11-05
892511,Australia,New Zealand,Western Australia Cricket Association Ground,Perth,2015-11-13
892513,Australia,New Zealand,Adelaide Oval,,2015-11-27
892515,Australia,West Indies,Bellerive Oval,Hobart,2015-12-10
892517,Australia,West Indies,Melbourne Cricket Ground,,2015-12-26
892519,Australia,West Indies,Sydney Cricket Ground,,2016-01-03
895773,Sri Lanka,India,Galle International Stadium,,2015-08-12
895775,Sri Lanka,India,P Sara Oval,Colombo,2015-08-20
895777,Sri Lanka,India,Sinhalese Sports Club Ground,Colombo,2015-08-28
902635,England,Pakistan,Sheikh Zayed Stadium,Abu Dhabi,2015-10-13
902637,England,Pakistan,Dubai International Cricket Stadium,,2015-10-22
902639,England,Pakistan,Sharjah Cricket Stadium,,2015-11-01
903603,India,South Africa,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2015-11-05
903605,India,South Africa,M Chinnaswamy Stadium,Bangalore,2015-11-14
903607,India,South Africa,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,2015-11-25
903609,India,South Africa,Feroz Shah Kotla,Delhi,2015-12-03
913613,England,Sri Lanka,Headingley,Leeds,2016-05-19
913615,England,Sri Lanka,Riverside Ground,Chester-le-Street,2016-05-27
913617,England,Sri Lanka,Lord's,London,2016-06-09
913641,England,Pakistan,Lord's,London,2016-07-14
913643,England,Pakistan,Old Trafford,Manchester,2016-07-22
913645,England,Pakistan,Edgbaston,Birmingham,2016-08-03
913647,England,Pakistan,Kennington Oval,London,2016-08-11
914203,New Zealand,Sri Lanka,University Oval,Dunedin,2015-12-10
914205,New Zealand,Sri Lanka,Seddon Park,Hamilton,2015-12-18
914237,New Zealand,Australia,Basin Reserve,Wellington,2016-02-12
914239,New Zealand,Australia,Hagley Oval,Christchurch,2016-02-20
915773,Sri Lanka,West Indies,Galle International Stadium,,2015-10-14
915775,Sri Lanka,West Indies,P Sara Oval,Colombo,2015-10-22
936127,South Africa,New Zealand,Kingsmead,Durban,2016-08-19
936129,South Africa,New Zealand,SuperSport Park,Centurion,2016-08-27
936147,South Africa,Sri Lanka,St George's Park,Port Elizabeth,2016-12-26
936149,South Africa,Sri Lanka,Newlands,Cape Town,2017-01-02
936151,South Africa,Sri Lanka,New Wanderers Stadium,Johannesburg,2017-01-12
995451,Sri Lanka,Australia,Pallekele International Cricket Stadium,,2016-07-26
995453,Sri Lanka,Australia,Galle International Stadium,,2016-08-04
995455,Sri Lanka,Australia,Sinhalese Sports Club Ground,Colombo,2016-08-13
